data_date,portfolio_value,unrealized_return
2026-01-28 20:01:30.603041+00:00,5199.17,376.73
2026-01-28 20:31:37.795303+00:00,5199.06,376.62
2026-01-28 21:01:27.982832+00:00,5197.81,375.37
2026-01-28 21:31:36.735938+00:00,5201.46,379.02
2026-01-28 22:01:34.384138+00:00,5195.87,373.43
2026-01-28 23:01:36.479663+00:00,5198.65,376.21
2026-01-28 23:31:27.380931+00:00,5195.28,372.84
2026-01-29 00:13:54.042545+00:00,5194.06,371.62
2026-01-29 02:31:48.056130+00:00,5194.44,372.0
2026-01-29 02:57:24.646598+00:00,5193.57,371.13
2026-01-29 05:33:14.654777+00:00,5195.73,373.29
2026-01-29 06:18:22.222142+00:00,5195.91,373.47
2026-01-29 07:01:06.505853+00:00,5195.74,373.3
2026-01-29 07:17:15.520786+00:00,5195.99,373.55
2026-01-29 07:45:30.962795+00:00,5198.55,376.11
2026-01-29 08:01:38.682309+00:00,5203.22,380.78
2026-01-29 09:01:37.447107+00:00,5213.58,391.14
2026-01-29 09:31:28.294200+00:00,5216.43,393.99
2026-01-29 10:01:34.584248+00:00,5214.38,391.94
2026-01-29 10:34:41.723445+00:00,5215.93,393.49
2026-01-29 11:04:55.353800+00:00,5210.03,387.59
2026-01-29 11:31:31.449548+00:00,5212.88,390.44
2026-01-29 12:01:36.743992+00:00,5218.29,395.85
2026-01-29 12:31:27.407811+00:00,5218.49,396.05
2026-01-29 13:01:36.434770+00:00,5213.03,390.59
2026-01-29 13:31:27.255411+00:00,5213.37,390.93
2026-01-29 14:01:32.715229+00:00,5221.44,399.0
2026-01-29 14:31:27.275055+00:00,5217.15,394.71
2026-01-29 15:01:40.313343+00:00,5171.2,348.76
2026-01-29 16:01:33.056621+00:00,5139.57,302.15
2026-01-29 16:31:32.437711+00:00,5153.56,316.14
2026-01-29 17:01:31.132074+00:00,5155.45,318.03
2026-01-29 17:31:27.385397+00:00,5153.61,316.19
2026-01-29 18:01:27.485033+00:00,5153.04,315.62
2026-01-29 18:31:31.085799+00:00,5153.08,315.66
2026-01-29 19:03:11.885275+00:00,5153.56,316.14
2026-01-29 19:44:04.273898+00:00,5154.03,316.61
2026-01-29 20:01:40.341325+00:00,5154.27,316.85
2026-01-29 20:31:28.616613+00:00,5152.57,315.15
2026-01-29 21:01:27.296326+00:00,5153.19,315.77
2026-01-29 21:31:30.314428+00:00,5153.54,316.12
2026-01-29 22:01:27.233643+00:00,5147.34,309.92
2026-01-29 22:31:32.176037+00:00,5151.79,314.37
2026-01-29 23:01:27.295458+00:00,5152.27,314.85
2026-01-29 23:31:27.118751+00:00,5151.94,314.52
2026-01-30 00:08:37.147307+00:00,5152.59,315.17
